simulation_id,agent1_type,agent2_type,agreement_reached,agent0_final_reward,agent1_final_reward,final_round
0,rl,rl,False,0,-1.0,20
1,rl,rl,False,0,-1.0,20
2,rl,rl,False,0,-1.0,20
3,rl,rl,False,0,-1.0,20
4,rl,rl,False,0,-1.0,20
5,rl,rl,False,0,-1.0,20
6,rl,rl,False,0,-1.0,20
7,rl,rl,False,0,-1.0,20
8,rl,rl,False,0,-1.0,20
9,rl,rl,False,0,-1.0,20
