simulation_id,agent1_type,agent2_type,agreement_reached,agent0_final_reward,agent1_final_reward,final_round
0,rl,adversarial,True,0,0.27999999999999997,2
1,rl,adversarial,True,0,0.27999999999999997,2
2,rl,adversarial,True,0,0.27999999999999997,2
3,rl,adversarial,True,0,0.27999999999999997,2
4,rl,adversarial,True,0,0.27999999999999997,2
5,rl,adversarial,True,0,0.27999999999999997,2
6,rl,adversarial,True,0,0.27999999999999997,2
7,rl,adversarial,True,0,0.27999999999999997,2
8,rl,adversarial,True,0,0.27999999999999997,2
9,rl,adversarial,True,0,0.27999999999999997,2
10,rl,adversarial,True,0,0.27999999999999997,2
11,rl,adversarial,True,0,0.27999999999999997,2
12,rl,adversarial,True,0,0.27999999999999997,2
13,rl,adversarial,True,0,0.27999999999999997,2
14,rl,adversarial,True,0,0.27999999999999997,2
15,rl,adversarial,True,0,0.27999999999999997,2
16,rl,adversarial,True,0,0.27999999999999997,2
17,rl,adversarial,True,0,0.27999999999999997,2
18,rl,adversarial,True,0,0.27999999999999997,2
19,rl,adversarial,True,0,0.27999999999999997,2
